Director;Type;Characters;Genre;Location;Temporal collocation;Saga;Duration;First viewing;id;isChosen;gender;age;resp.id;ques;alt
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;2022;No;2h;Platforms;3183;1;M;23;1;1;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Mars;2100;Yes;2h;Cinema;1275;0;M;23;1;1;center
Christopher Nolan;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;2022;Yes;2h;Platforms;2749;0;M;23;1;1;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Mars;2022;No;2h;Platforms;3309;0;M;23;1;2;left
Tim Burton;Animation film;Humans;Thriller;Europe;2100;No;1h 40min;Platforms;2504;1;M;23;1;2;center
Tim Burton;Animation film;Animals;Thriller;United States of America;End of the 19th century;Yes;1h 40min;Platforms;1754;0;M;23;1;2;right
Steven Spielberg;Animation film;Humans;Thriller;United States of America;End of the 19th century;No;2h;Cinema;1317;0;M;23;1;3;left
Tim Burton;Live-action;Humans;Science-fiction;United States of America;2100;No;1h 40min;Platforms;2453;1;M;23;1;3;center
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;End of the 19th century;Yes;1h 40min;Platforms;1839;0;M;23;1;3;right
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Europe;2022;No;1h 40min;Platforms;2372;0;M;23;1;4;left
Steven Spielberg;Live-action;Animals;Science-fiction;Europe;2022;No;2h;Platforms;3216;1;M;23;1;4;center
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;Yes;1h 40min;Cinema;67;0;M;23;1;4;right
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Mars;End of the 19th century;No;2h;Cinema;1435;0;M;23;1;5;left
Tim Burton;Live-action;Animals;Science-fiction;Europe;2100;No;1h 40min;Platforms;2495;1;M;23;1;5;center
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;End of the 19th century;No;2h;Cinema;1407;0;M;23;1;5;right
Steven Spielberg;Live-action;Animals;Science-fiction;Mars;2100;Yes;1h 40min;Platforms;2136;1;M;23;1;6;left
Christopher Nolan;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;2022;No;2h;Cinema;1453;0;M;23;1;6;center
Steven Spielberg;Live-action;Humans;Thriller;Europe;2100;No;1h 40min;Cinema;780;0;M;23;1;6;right
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Europe;2100;No;1h 40min;Cinema;787;0;M;23;1;7;left
Steven Spielberg;Animation film;Animals;Thriller;Japan;2100;No;2h;Cinema;1683;0;M;23;1;7;center
